Time,CH A,CH B,
0.E+0,-3.73E-3,-3.0141E-2,
1.0005E-2,7.627E-2,-3.0141E-2,
2.001E-2,-3.73E-3,-2.2141E-2,
3.0015E-2,1.5627E-1,-2.2141E-2,
4.002E-2,7.627E-2,-2.2141E-2,
5.0025E-2,-3.73E-3,-2.2141E-2,
6.003E-2,-3.73E-3,-2.2141E-2,
7.0035E-2,-8.373E-2,-1.4141E-2,
8.004E-2,-8.373E-2,-2.2141E-2,
9.0045E-2,-8.373E-2,-1.4141E-2,
1.0005E-1,-8.373E-2,-2.2141E-2,
1.10055E-1,-3.73E-3,-2.2141E-2,
1.2006E-1,-8.373E-2,-2.2141E-2,
1.30065E-1,-8.373E-2,-2.2141E-2,
1.4007E-1,1.5627E-1,-1.4141E-2,
1.50075E-1,7.627E-2,-1.4141E-2,
1.6008E-1,7.627E-2,-1.4141E-2,
1.70085E-1,7.627E-2,-1.4141E-2,
1.8009E-1,1.5627E-1,-3.0141E-2,
1.90095E-1,1.5627E-1,-2.2141E-2,
2.001E-1,7.627E-2,-3.0141E-2,
2.10105E-1,1.5627E-1,-2.2141E-2,
2.2011E-1,1.5627E-1,-3.0141E-2,
2.30115E-1,2.3627E-1,-2.2141E-2,
2.4012E-1,1.5627E-1,-2.2141E-2,
2.50125E-1,1.5627E-1,-2.2141E-2,
2.6013E-1,7.627E-2,-2.2141E-2,
2.70135E-1,-3.73E-3,-3.0141E-2,
2.8014E-1,-3.73E-3,-3.0141E-2,
2.90145E-1,-3.73E-3,-3.0141E-2,
3.0015E-1,-8.373E-2,-3.0141E-2,
3.10155E-1,-8.373E-2,-3.0141E-2,
3.2016E-1,-8.373E-2,-3.0141E-2,
3.30165E-1,-1.6373E-1,-3.8141E-2,
3.4017E-1,-8.373E-2,-3.8141E-2,
3.50175E-1,-8.373E-2,-3.0141E-2,
3.6018E-1,-3.73E-3,-3.8141E-2,
3.70185E-1,-8.373E-2,-3.8141E-2,
3.8019E-1,-1.6373E-1,-3.8141E-2,
3.90195E-1,-3.2373E-1,-3.8141E-2,
4.002E-1,-1.6373E-1,-3.8141E-2,
4.10205E-1,-2.4373E-1,-3.0141E-2,
4.2021E-1,-8.373E-2,-3.0141E-2,
4.30215E-1,-8.373E-2,-3.0141E-2,
4.4022E-1,-8.373E-2,-3.0141E-2,
4.50225E-1,-3.73E-3,-3.0141E-2,
4.6023E-1,-8.373E-2,-2.2141E-2,
4.70235E-1,-1.6373E-1,-2.2141E-2,
4.8024E-1,-8.373E-2,-2.2141E-2,
4.90245E-1,-8.373E-2,-2.2141E-2,
5.0025E-1,-8.373E-2,-2.2141E-2,
5.10255E-1,-3.73E-3,-1.4141E-2,
5.2026E-1,-8.373E-2,-1.4141E-2,
5.30265E-1,-8.373E-2,-2.2141E-2,
5.4027E-1,-3.73E-3,-1.4141E-2,
5.50275E-1,-8.373E-2,-1.4141E-2,
5.6028E-1,-8.373E-2,-1.4141E-2,
5.70285E-1,-8.373E-2,-1.4141E-2,
5.8029E-1,-8.373E-2,-1.4141E-2,
5.90295E-1,-8.373E-2,-1.4141E-2,
6.003E-1,-3.73E-3,-6.141E-3,
6.10305E-1,-3.73E-3,-1.4141E-2,
6.2031E-1,-3.73E-3,-6.141E-3,
6.30315E-1,7.627E-2,-6.141E-3,
6.4032E-1,-3.73E-3,1.859E-3,
6.50325E-1,7.627E-2,-6.141E-3,
6.6033E-1,7.627E-2,-6.141E-3,
6.70335E-1,7.627E-2,-6.141E-3,
6.8034E-1,1.5627E-1,-6.141E-3,
6.90345E-1,7.627E-2,-6.141E-3,
7.0035E-1,7.627E-2,-6.141E-3,
7.10355E-1,1.5627E-1,-6.141E-3,
7.2036E-1,7.627E-2,-6.141E-3,
7.30365E-1,7.627E-2,-6.141E-3,
7.4037E-1,7.627E-2,-6.141E-3,
7.50375E-1,1.5627E-1,-6.141E-3,
7.6038E-1,7.627E-2,-6.141E-3,
7.70385E-1,1.5627E-1,-6.141E-3,
7.8039E-1,7.627E-2,-6.141E-3,
7.90395E-1,1.5627E-1,-1.4141E-2,
8.004E-1,1.5627E-1,-6.141E-3,
8.10405E-1,7.627E-2,-6.141E-3,
8.2041E-1,-3.73E-3,-1.4141E-2,
8.30415E-1,7.627E-2,-1.4141E-2,
8.4042E-1,7.627E-2,-1.4141E-2,
8.50425E-1,-3.73E-3,-6.141E-3,
8.6043E-1,-3.73E-3,-1.4141E-2,
8.70435E-1,-3.73E-3,-1.4141E-2,
8.8044E-1,-8.373E-2,-1.4141E-2,
8.90445E-1,-8.373E-2,-6.141E-3,
9.0045E-1,-8.373E-2,-1.4141E-2,
9.10455E-1,-8.373E-2,-1.4141E-2,
9.2046E-1,-8.373E-2,-1.4141E-2,
9.30465E-1,-3.73E-3,-1.4141E-2,
9.4047E-1,-8.373E-2,-1.4141E-2,
9.50475E-1,-8.373E-2,-1.4141E-2,
9.6048E-1,-2.4373E-1,-1.4141E-2,
9.70485E-1,-1.6373E-1,-1.4141E-2,
9.8049E-1,-8.373E-2,-1.4141E-2,
9.90495E-1,-8.373E-2,-1.4141E-2,
1.0005E+0,-1.6373E-1,-1.4141E-2,
1.01051E+0,-1.6373E-1,-6.141E-3,
1.02051E+0,-1.6373E-1,-1.4141E-2,
1.03052E+0,-8.373E-2,-1.4141E-2,
1.04052E+0,-1.6373E-1,-6.141E-3,
1.05053E+0,-1.6373E-1,-6.141E-3,
1.06053E+0,-1.6373E-1,-6.141E-3,
1.07054E+0,-8.373E-2,-6.141E-3,
1.08054E+0,-1.6373E-1,-6.141E-3,
1.09055E+0,-2.4373E-1,-6.141E-3,
1.10055E+0,-3.2373E-1,1.859E-3,
1.11056E+0,-2.4373E-1,1.859E-3,
1.12056E+0,-8.373E-2,9.859E-3,
1.13057E+0,-8.373E-2,1.859E-3,
1.14057E+0,7.627E-2,1.859E-3,
1.15058E+0,-3.73E-3,1.859E-3,
1.16058E+0,7.627E-2,1.859E-3,
1.17059E+0,7.627E-2,1.859E-3,
1.18059E+0,7.627E-2,9.859E-3,
1.1906E+0,1.5627E-1,1.7859E-2,
1.2006E+0,7.627E-2,9.859E-3,
1.21061E+0,7.627E-2,1.7859E-2,
1.22061E+0,-8.373E-2,9.859E-3,
1.23062E+0,-3.73E-3,9.859E-3,
1.24062E+0,7.627E-2,1.7859E-2,
1.25063E+0,-3.73E-3,1.7859E-2,
1.26063E+0,7.627E-2,1.7859E-2,
1.27064E+0,2.3627E-1,9.859E-3,
1.28064E+0,2.3627E-1,9.859E-3,
1.29065E+0,2.3627E-1,9.859E-3,
1.30065E+0,2.3627E-1,9.859E-3,
1.31066E+0,3.1627E-1,1.7859E-2,
1.32066E+0,3.1627E-1,9.859E-3,
1.33067E+0,2.3627E-1,9.859E-3,
1.34067E+0,7.627E-2,9.859E-3,
1.35068E+0,1.5627E-1,1.859E-3,
1.36068E+0,7.627E-2,9.859E-3,
1.37069E+0,-3.73E-3,1.859E-3,
1.38069E+0,7.627E-2,9.859E-3,
1.3907E+0,-8.373E-2,1.859E-3,
1.4007E+0,-3.73E-3,9.859E-3,
1.41071E+0,-3.73E-3,9.859E-3,
1.42071E+0,-3.73E-3,1.859E-3,
1.43072E+0,-3.73E-3,-6.141E-3,
1.44072E+0,-3.73E-3,1.859E-3,
1.45073E+0,-8.373E-2,1.859E-3,
1.46073E+0,-3.73E-3,-6.141E-3,
1.47074E+0,-1.6373E-1,1.859E-3,
1.48074E+0,-8.373E-2,1.859E-3,
1.49075E+0,-1.6373E-1,-6.141E-3,
1.50075E+0,-8.373E-2,1.859E-3,
1.51076E+0,-1.6373E-1,1.859E-3,
1.52076E+0,-3.2373E-1,1.859E-3,
1.53077E+0,-2.4373E-1,-6.141E-3,
1.54077E+0,-1.6373E-1,1.859E-3,
1.55078E+0,-1.6373E-1,1.859E-3,
1.56078E+0,-3.2373E-1,1.859E-3,
1.57079E+0,-2.4373E-1,1.859E-3,
1.58079E+0,-3.2373E-1,1.859E-3,
1.5908E+0,-2.4373E-1,9.859E-3,
1.6008E+0,-2.4373E-1,9.859E-3,
1.61081E+0,-1.6373E-1,9.859E-3,
1.62081E+0,-2.4373E-1,9.859E-3,
1.63082E+0,-1.6373E-1,1.7859E-2,
1.64082E+0,-2.4373E-1,9.859E-3,
1.65083E+0,-1.6373E-1,9.859E-3,
1.66083E+0,-1.6373E-1,1.7859E-2,
1.67084E+0,-1.6373E-1,2.5859E-2,
1.68084E+0,-1.6373E-1,1.7859E-2,
1.69085E+0,-1.6373E-1,1.7859E-2,
1.70085E+0,-8.373E-2,1.7859E-2,
1.71086E+0,-3.73E-3,2.5859E-2,
1.72086E+0,-3.73E-3,2.5859E-2,
1.73087E+0,-3.73E-3,2.5859E-2,
1.74087E+0,7.627E-2,2.5859E-2,
1.75088E+0,1.5627E-1,2.5859E-2,
1.76088E+0,1.5627E-1,2.5859E-2,
1.77089E+0,2.3627E-1,2.5859E-2,
1.78089E+0,2.3627E-1,2.5859E-2,
1.7909E+0,2.3627E-1,3.3859E-2,
1.8009E+0,3.1627E-1,3.3859E-2,
1.81091E+0,3.1627E-1,3.3859E-2,
1.82091E+0,7.627E-2,3.3859E-2,
1.83092E+0,7.627E-2,3.3859E-2,
1.84092E+0,1.5627E-1,3.3859E-2,
1.85093E+0,1.5627E-1,3.3859E-2,
1.86093E+0,7.627E-2,2.5859E-2,
1.87094E+0,1.5627E-1,2.5859E-2,
1.88094E+0,1.5627E-1,2.5859E-2,
1.89095E+0,1.5627E-1,2.5859E-2,
1.90095E+0,2.3627E-1,3.3859E-2,
1.91096E+0,2.3627E-1,3.3859E-2,
1.92096E+0,2.3627E-1,3.3859E-2,
1.93097E+0,1.5627E-1,1.7859E-2,
1.94097E+0,1.5627E-1,2.5859E-2,
1.95098E+0,7.627E-2,2.5859E-2,
1.96098E+0,7.627E-2,2.5859E-2,
1.97099E+0,7.627E-2,1.7859E-2,
1.98099E+0,-3.73E-3,2.5859E-2,
1.991E+0,7.627E-2,2.5859E-2,
2.001E+0,-8.373E-2,1.7859E-2,
2.01101E+0,-1.6373E-1,1.7859E-2,
2.02101E+0,-8.373E-2,1.7859E-2,
2.03102E+0,-3.73E-3,1.7859E-2,
2.04102E+0,7.627E-2,9.859E-3,
2.05103E+0,-8.373E-2,9.859E-3,
2.06103E+0,-8.373E-2,1.7859E-2,
2.07104E+0,-1.6373E-1,2.5859E-2,
2.08104E+0,-8.373E-2,1.7859E-2,
2.09105E+0,-8.373E-2,1.7859E-2,
2.10105E+0,-8.373E-2,1.7859E-2,
2.11106E+0,-1.6373E-1,9.859E-3,
2.12106E+0,-1.6373E-1,2.5859E-2,
2.13107E+0,-3.2373E-1,1.7859E-2,
2.14107E+0,-1.6373E-1,1.7859E-2,
2.15108E+0,-3.2373E-1,2.5859E-2,
2.16108E+0,-2.4373E-1,1.7859E-2,
2.17109E+0,-2.4373E-1,2.5859E-2,
2.18109E+0,-2.4373E-1,1.7859E-2,
2.1911E+0,-2.4373E-1,2.5859E-2,
2.2011E+0,-1.6373E-1,2.5859E-2,
2.21111E+0,-1.6373E-1,3.3859E-2,
2.22111E+0,-8.373E-2,3.3859E-2,
2.23112E+0,-8.373E-2,4.1859E-2,
2.24112E+0,-8.373E-2,3.3859E-2,
2.25113E+0,-8.373E-2,4.1859E-2,
2.26113E+0,-3.73E-3,3.3859E-2,
2.27114E+0,7.627E-2,4.1859E-2,
2.28114E+0,7.627E-2,4.9859E-2,
2.29115E+0,1.5627E-1,3.3859E-2,
2.30115E+0,1.5627E-1,4.1859E-2,
2.31116E+0,2.3627E-1,4.1859E-2,
2.32116E+0,1.5627E-1,4.9859E-2,
2.33117E+0,2.3627E-1,4.9859E-2,
2.34117E+0,1.5627E-1,4.9859E-2,
2.35118E+0,1.5627E-1,4.1859E-2,
2.36118E+0,-3.73E-3,4.1859E-2,
2.37119E+0,1.5627E-1,5.7859E-2,
2.38119E+0,2.3627E-1,4.9859E-2,
2.3912E+0,2.3627E-1,4.9859E-2,
2.4012E+0,7.627E-2,4.9859E-2,
2.41121E+0,7.627E-2,4.9859E-2,
2.42121E+0,1.5627E-1,4.9859E-2,
2.43122E+0,1.5627E-1,4.1859E-2,
2.44122E+0,1.5627E-1,4.9859E-2,
2.45123E+0,2.3627E-1,4.9859E-2,
2.46123E+0,3.1627E-1,5.7859E-2,
2.47124E+0,1.5627E-1,4.9859E-2,
2.48124E+0,7.627E-2,3.3859E-2,
2.49125E+0,7.627E-2,4.9859E-2,
2.50125E+0,7.627E-2,4.9859E-2,
2.51126E+0,7.627E-2,4.1859E-2,
2.52126E+0,-3.73E-3,4.1859E-2,
2.53127E+0,-1.6373E-1,3.3859E-2,
2.54127E+0,-1.6373E-1,4.1859E-2,
2.55128E+0,-3.73E-3,4.1859E-2,
2.56128E+0,-8.373E-2,3.3859E-2,
2.57129E+0,-3.73E-3,4.1859E-2,
2.58129E+0,-8.373E-2,4.1859E-2,
2.5913E+0,-8.373E-2,4.1859E-2,
2.6013E+0,-3.73E-3,3.3859E-2,
2.61131E+0,-8.373E-2,4.1859E-2,
2.62131E+0,-8.373E-2,2.5859E-2,
2.63132E+0,-8.373E-2,3.3859E-2,
2.64132E+0,-8.373E-2,3.3859E-2,
2.65133E+0,-1.6373E-1,3.3859E-2,
2.66133E+0,-8.373E-2,3.3859E-2,
2.67134E+0,-1.6373E-1,3.3859E-2,
2.68134E+0,-2.4373E-1,4.1859E-2,
2.69135E+0,-8.373E-2,3.3859E-2,
2.70135E+0,-8.373E-2,4.1859E-2,
2.71136E+0,-1.6373E-1,3.3859E-2,
2.72136E+0,-8.373E-2,4.1859E-2,
2.73137E+0,-1.6373E-1,4.1859E-2,
2.74137E+0,-1.6373E-1,4.1859E-2,
2.75138E+0,-1.6373E-1,4.1859E-2,
2.76138E+0,-8.373E-2,4.1859E-2,
2.77139E+0,-8.373E-2,4.1859E-2,
2.78139E+0,-8.373E-2,4.9859E-2,
2.7914E+0,-8.373E-2,4.9859E-2,
2.8014E+0,-3.73E-3,4.9859E-2,
2.81141E+0,-3.73E-3,4.9859E-2,
2.82141E+0,-3.73E-3,4.9859E-2,
2.83142E+0,7.627E-2,5.7859E-2,
2.84142E+0,-3.73E-3,5.7859E-2,
2.85143E+0,-3.73E-3,4.9859E-2,
2.86143E+0,-3.73E-3,5.7859E-2,
2.87144E+0,-3.73E-3,5.7859E-2,
2.88144E+0,-3.73E-3,6.5859E-2,
2.89145E+0,-3.73E-3,5.7859E-2,
2.90145E+0,1.5627E-1,6.5859E-2,
2.91146E+0,2.3627E-1,6.5859E-2,
2.92146E+0,2.3627E-1,6.5859E-2,
2.93147E+0,2.3627E-1,6.5859E-2,
2.94147E+0,3.1627E-1,7.3859E-2,
2.95148E+0,5.5627E-1,6.5859E-2,
2.96148E+0,5.5627E-1,7.3859E-2,
2.97149E+0,6.3627E-1,6.5859E-2,
2.98149E+0,7.9627E-1,6.5859E-2,
2.9915E+0,1.03627E+0,7.3859E-2,
3.0015E+0,1.19627E+0,6.5859E-2,
3.01151E+0,1.43627E+0,6.5859E-2,
3.02151E+0,1.59627E+0,6.5859E-2,
3.03152E+0,1.91627E+0,6.5859E-2,
3.04152E+0,2.07627E+0,6.5859E-2,
3.05153E+0,2.15627E+0,6.5859E-2,
3.06153E+0,2.23627E+0,6.5859E-2,
3.07154E+0,2.31627E+0,6.5859E-2,
3.08154E+0,2.39627E+0,5.7859E-2,
3.09155E+0,2.39627E+0,5.7859E-2,
3.10155E+0,2.39627E+0,5.7859E-2,
3.11156E+0,2.15627E+0,5.7859E-2,
3.12156E+0,1.99627E+0,4.9859E-2,
3.13157E+0,1.75627E+0,5.7859E-2,
3.14157E+0,1.43627E+0,5.7859E-2,
3.15158E+0,1.11627E+0,5.7859E-2,
3.16158E+0,7.1627E-1,5.7859E-2,
3.17159E+0,2.3627E-1,5.7859E-2,
3.18159E+0,-3.2373E-1,4.9859E-2,
3.1916E+0,-8.0373E-1,4.1859E-2,
3.2016E+0,-1.20373E+0,5.7859E-2,
3.21161E+0,-1.76373E+0,4.9859E-2,
3.22161E+0,-2.08373E+0,4.9859E-2,
3.23162E+0,-2.48373E+0,4.9859E-2,
3.24162E+0,-2.72373E+0,5.7859E-2,
3.25163E+0,-3.04373E+0,5.7859E-2,
3.26163E+0,-3.28373E+0,5.7859E-2,
3.27164E+0,-3.60373E+0,5.7859E-2,
3.28164E+0,-3.68373E+0,4.9859E-2,
3.29165E+0,-3.84373E+0,5.7859E-2,
3.30165E+0,-4.00373E+0,5.7859E-2,
3.31166E+0,-4.08373E+0,6.5859E-2,
3.32166E+0,-4.08373E+0,6.5859E-2,
3.33167E+0,-4.00373E+0,7.3859E-2,
3.34167E+0,-3.76373E+0,6.5859E-2,
3.35168E+0,-3.60373E+0,6.5859E-2,
3.36168E+0,-3.36373E+0,6.5859E-2,
3.37169E+0,-2.96373E+0,7.3859E-2,
3.38169E+0,-2.64373E+0,7.3859E-2,
3.3917E+0,-2.16373E+0,7.3859E-2,
3.4017E+0,-1.84373E+0,7.3859E-2,
3.41171E+0,-1.36373E+0,7.3859E-2,
3.42171E+0,-9.6373E-1,8.1859E-2,
3.43172E+0,-4.0373E-1,8.1859E-2,
3.44172E+0,-2.4373E-1,7.3859E-2,
3.45173E+0,1.5627E-1,8.9859E-2,
3.46173E+0,4.7627E-1,8.1859E-2,
3.47174E+0,7.1627E-1,8.1859E-2,
3.48174E+0,1.11627E+0,8.9859E-2,
3.49175E+0,1.27627E+0,8.9859E-2,
3.50175E+0,1.27627E+0,8.9859E-2,
3.51176E+0,1.27627E+0,8.1859E-2,
3.52176E+0,1.27627E+0,8.9859E-2,
3.53177E+0,1.19627E+0,8.1859E-2,
3.54177E+0,1.19627E+0,8.9859E-2,
3.55178E+0,1.27627E+0,8.9859E-2,
3.56178E+0,1.51627E+0,8.9859E-2,
3.57179E+0,1.27627E+0,8.9859E-2,
3.58179E+0,1.27627E+0,8.1859E-2,
3.5918E+0,1.19627E+0,8.9859E-2,
3.6018E+0,1.19627E+0,8.1859E-2,
3.61181E+0,1.11627E+0,8.1859E-2,
3.62181E+0,1.03627E+0,8.1859E-2,
3.63182E+0,9.5627E-1,8.1859E-2,
3.64182E+0,9.5627E-1,7.3859E-2,
3.65183E+0,9.5627E-1,7.3859E-2,
3.66183E+0,8.7627E-1,7.3859E-2,
3.67184E+0,7.9627E-1,7.3859E-2,
3.68184E+0,7.1627E-1,7.3859E-2,
3.69185E+0,5.5627E-1,7.3859E-2,
3.70185E+0,5.5627E-1,8.1859E-2,
3.71186E+0,5.5627E-1,7.3859E-2,
3.72186E+0,3.9627E-1,7.3859E-2,
3.73187E+0,3.1627E-1,6.5859E-2,
3.74187E+0,2.3627E-1,7.3859E-2,
3.75188E+0,1.5627E-1,7.3859E-2,
3.76188E+0,7.627E-2,6.5859E-2,
3.77189E+0,-3.73E-3,6.5859E-2,
3.78189E+0,7.627E-2,6.5859E-2,
3.7919E+0,-3.73E-3,7.3859E-2,
3.8019E+0,-3.73E-3,8.1859E-2,
3.81191E+0,-8.373E-2,7.3859E-2,
3.82191E+0,1.5627E-1,7.3859E-2,
3.83192E+0,-8.373E-2,7.3859E-2,
3.84192E+0,-8.373E-2,7.3859E-2,
3.85193E+0,-8.373E-2,8.1859E-2,
3.86193E+0,-3.73E-3,7.3859E-2,
3.87194E+0,-8.373E-2,7.3859E-2,
3.88194E+0,-8.373E-2,7.3859E-2,
3.89195E+0,-8.373E-2,7.3859E-2,
3.90195E+0,-8.373E-2,8.1859E-2,
3.91196E+0,-1.6373E-1,8.1859E-2,
3.92196E+0,-8.373E-2,8.1859E-2,
3.93197E+0,-3.73E-3,8.9859E-2,
3.94197E+0,-3.73E-3,8.9859E-2,
3.95198E+0,-8.373E-2,8.9859E-2,
3.96198E+0,-3.73E-3,8.9859E-2,
3.97199E+0,-3.73E-3,8.9859E-2,
3.98199E+0,1.5627E-1,9.7859E-2,
3.992E+0,7.627E-2,9.7859E-2,
4.002E+0,7.627E-2,9.7859E-2,
4.01201E+0,1.5627E-1,9.7859E-2,
4.02201E+0,7.627E-2,9.7859E-2,
4.03202E+0,1.5627E-1,1.05859E-1,
4.04202E+0,-3.73E-3,1.05859E-1,
4.05203E+0,-3.73E-3,1.05859E-1,
4.06203E+0,1.5627E-1,1.05859E-1,
4.07204E+0,7.627E-2,1.05859E-1,
4.08204E+0,1.5627E-1,9.7859E-2,
4.09205E+0,7.627E-2,1.05859E-1,
4.10205E+0,7.627E-2,1.05859E-1,
4.11206E+0,7.627E-2,1.05859E-1,
4.12206E+0,7.627E-2,9.7859E-2,
4.13207E+0,3.1627E-1,1.05859E-1,
4.14207E+0,3.1627E-1,1.05859E-1,
4.15208E+0,2.3627E-1,1.05859E-1,
4.16208E+0,3.1627E-1,9.7859E-2,
4.17209E+0,2.3627E-1,9.7859E-2,
4.18209E+0,2.3627E-1,9.7859E-2,
4.1921E+0,1.5627E-1,9.7859E-2,
4.2021E+0,1.5627E-1,9.7859E-2,
4.21211E+0,2.3627E-1,9.7859E-2,
4.22211E+0,7.627E-2,1.05859E-1,
4.23212E+0,7.627E-2,8.9859E-2,
4.24212E+0,7.627E-2,9.7859E-2,
4.25213E+0,-3.73E-3,8.9859E-2,
4.26213E+0,-3.73E-3,8.9859E-2,
4.27214E+0,-3.73E-3,8.9859E-2,
4.28214E+0,-8.373E-2,9.7859E-2,
4.29215E+0,-1.6373E-1,8.9859E-2,
4.30215E+0,-3.73E-3,8.9859E-2,
4.31216E+0,-3.73E-3,8.9859E-2,
4.32216E+0,-8.373E-2,8.9859E-2,
4.33217E+0,-1.6373E-1,8.9859E-2,
4.34217E+0,-2.4373E-1,8.1859E-2,
4.35218E+0,-2.4373E-1,8.1859E-2,
4.36218E+0,-2.4373E-1,8.9859E-2,
4.37219E+0,-1.6373E-1,8.9859E-2,
4.38219E+0,-1.6373E-1,8.9859E-2,
4.3922E+0,7.627E-2,8.9859E-2,
4.4022E+0,-3.73E-3,8.9859E-2,
4.41221E+0,-3.73E-3,8.9859E-2,
4.42221E+0,-8.373E-2,8.9859E-2,
4.43222E+0,-2.4373E-1,8.9859E-2,
4.44222E+0,-1.6373E-1,9.7859E-2,
4.45223E+0,-2.4373E-1,9.7859E-2,
4.46223E+0,-2.4373E-1,9.7859E-2,
4.47224E+0,-2.4373E-1,9.7859E-2,
4.48224E+0,-2.4373E-1,9.7859E-2,
4.49225E+0,-2.4373E-1,1.05859E-1,
4.50225E+0,-1.6373E-1,1.05859E-1,
4.51226E+0,-8.373E-2,1.05859E-1,
4.52226E+0,-8.373E-2,1.05859E-1,
4.53227E+0,-3.73E-3,1.13859E-1,
4.54227E+0,-8.373E-2,1.13859E-1,
4.55228E+0,-3.73E-3,1.05859E-1,
4.56228E+0,-3.73E-3,1.13859E-1,
4.57229E+0,-3.73E-3,1.13859E-1,
4.58229E+0,-3.73E-3,1.13859E-1,
4.5923E+0,7.627E-2,1.13859E-1,
4.6023E+0,-3.73E-3,1.13859E-1,
4.61231E+0,2.3627E-1,1.21859E-1,
4.62231E+0,-2.4373E-1,1.13859E-1,
4.63232E+0,-3.73E-3,1.21859E-1,
4.64232E+0,-3.73E-3,1.21859E-1,
4.65233E+0,7.627E-2,1.13859E-1,
4.66233E+0,7.627E-2,1.21859E-1,
4.67234E+0,1.5627E-1,1.21859E-1,
4.68234E+0,1.5627E-1,1.21859E-1,
4.69235E+0,2.3627E-1,1.29859E-1,
4.70235E+0,3.1627E-1,1.13859E-1,
4.71236E+0,3.9627E-1,1.21859E-1,
4.72236E+0,3.1627E-1,1.21859E-1,
4.73237E+0,2.3627E-1,1.21859E-1,
4.74237E+0,3.1627E-1,1.21859E-1,
4.75238E+0,2.3627E-1,1.13859E-1,
4.76238E+0,1.5627E-1,1.13859E-1,
4.77239E+0,2.3627E-1,1.13859E-1,
4.78239E+0,-3.73E-3,1.21859E-1,
4.7924E+0,-3.73E-3,1.13859E-1,
4.8024E+0,-3.73E-3,1.13859E-1,
4.81241E+0,-3.73E-3,1.05859E-1,
4.82241E+0,-3.73E-3,1.13859E-1,
4.83242E+0,-1.6373E-1,1.13859E-1,
4.84242E+0,-1.6373E-1,1.13859E-1,
4.85243E+0,-3.2373E-1,1.13859E-1,
4.86243E+0,-3.2373E-1,1.13859E-1,
4.87244E+0,-3.2373E-1,1.05859E-1,
4.88244E+0,-2.4373E-1,1.05859E-1,
4.89245E+0,-2.4373E-1,1.05859E-1,
4.90245E+0,-3.2373E-1,1.05859E-1,
4.91246E+0,-4.0373E-1,1.05859E-1,
4.92246E+0,-2.4373E-1,1.05859E-1,
4.93247E+0,-2.4373E-1,1.05859E-1,
4.94247E+0,-2.4373E-1,1.05859E-1,
4.95248E+0,-4.0373E-1,1.05859E-1,
4.96248E+0,-6.4373E-1,1.05859E-1,
4.97249E+0,-7.2373E-1,1.05859E-1,
4.98249E+0,-6.4373E-1,1.13859E-1,
4.9925E+0,-7.2373E-1,1.05859E-1,
5.0025E+0,-6.4373E-1,1.13859E-1,
5.01251E+0,-5.6373E-1,1.13859E-1,
5.02251E+0,-4.0373E-1,1.13859E-1,
5.03252E+0,-2.4373E-1,1.21859E-1,
5.04252E+0,-1.6373E-1,1.21859E-1,
5.05253E+0,-1.6373E-1,1.13859E-1,
5.06253E+0,-2.4373E-1,1.21859E-1,
5.07254E+0,-1.6373E-1,1.21859E-1,
